TotalCoinSupply,TotalCoinsMined,CoinName,Class
0.0,2.7459351832994873e-05,RubyCoin,0
0.000166386,0.00013890826284479005,PesetaCoin,1
1.2e-05,2.0428746910438998e-06,Kore,0
2.628e-06,1.8371648199843193e-07,Wild Beast Coin,1
0.0005,0.00017641218487765833,Dnotes,0
0.00015999999999999999,0.00015381046349316466,Flo,1
0.0,1.4826421555945544e-06,8BIT Coin,0
9.999999999999999e-06,7.1685584936518354e-06,Sativa Coin,0
0.001,0.0008005517611206417,ArtByte,1
0.001,0.0007266920705903823,Folding Coin,1
1.9999999999999998e-05,2.716970369101339e-06,Ucoin,0
0.0,6.577171953463686e-05,Unitus,1
0.0,6.429611685370236e-06,CypherPunkCoin,1
3.3713369999999998e-06,1.0242543481404855e-05,OmniCron,1
1.9999999999999998e-05,1.1722032628249687e-05,Vtorrent,0
0.01,0.004656962788057776,GreenCoin,1
0.00184,0.0007156712681788526,Cryptonite,1
6.19478e-07,6.257000627009784e-07,MasterCoin,1
2.1e-05,1.2588606144078657e-05,SoonCoin,1
0.092,8.906263157644134e-08,1Credit,1
0.0,1.5289689463744187e-06,IslaCoin,0
7.8e-05,6.430091286755607e-05,Nexus,0
3.3e-05,3.254737390940308e-05,MarsCoin ,1
6.57891e-05,1.388166937063467e-05,Crypto,1
5.376e-05,1.4896289018926092e-05,Anarchists Prime,1
5.06e-06,8.65464044533528e-06,Droidz,0
2.1e-05,1.6024218544473603e-05,BowsCoin,1
0.0,3.3248663543496074e-07,Squall Coin,0
0.00021024,3.289457501821606e-05,Song Coin,1
0.00025,7.637911117242616e-05,BitZeny,1
9.999999999999999e-05,0.00010101121017516,Diggits,0
1.6906397e-05,1.0601369346955924e-05,Expanse,1
4.9999999999999996e-05,2.3275580507341256e-05,Paycon,0
0.0,0.03343300387173752,Siacoin,1
0.001,4.3495195674547396e-05,Emercoin,0
2.6297999999999998e-05,1.3667342096946377e-05,EverGreenCoin,0
1.6e-05,1.602811505354264e-05,MindCoin,1
2.1e-05,2.120977197104188e-05,I0coin,1
2.1e-05,1.0469821310022305e-05,Decred,0
0.00021,0.00021212358803498338,Revolution VR,1
8.196209999999999e-05,1.1564684369737338e-05,HOdlcoin,1
2.2e-05,3.7067592744553853e-06,EDRCoin,0
0.02655,0.011107518609238073,Hitcoin,0
8.4e-05,7.054227695219703e-05,Gamecredits,1
1.05e-05,5.180838862741675e-06,DubaiCoin,0
0.02162628,0.0219598179179117,CarpeDiemCoin,1
0.0,0.010171276554625372,PWR Coin,0
4.2e-05,9.089700841491067e-06,BillaryCoin,0
0.000221052632,4.088632471488365e-05,GPU Coin,0
8.4e-05,4.556646089956654e-05,Adzcoin,1
3e-05,5.759667683964639e-06,SoilCoin,1
0.0001683513,6.428563793372448e-07,YoCoin,1
2.4e-05,1.743788870157756e-05,SibCoin,1
0.000384,1.051247114981269e-05,EuropeCoin,0
0.099,0.037345108590098736,ZeitCoin,0
3.9999999999999996e-05,4.421302536434042e-06,SwingCoin,0
0.002147483647,0.002169200088786735,SafeExchangeCoin,0
1.9999999999999998e-05,2.0202208095288435e-05,Nebuchadnezzar,0
1.9999999999999998e-05,6.637212695356324e-06,Francs,1
2.4999999999999998e-05,1.3792117338373683e-05,BolivarCoin,1
7.5e-05,0.0001359155890671144,Ratecoin,0
0.000222725,1.2075723529647756e-06,Revenu,0
0.000525,1.6831280775777115e-05,Clockcoin,0
8.999999999999999e-05,8.429425494523455e-05,VIP Tokens,0
0.000139,2.4634303574462228e-05,BitSend,0
6.16448e-07,6.226394217472033e-07,Omni,1
3.35e-05,3.8980006684536215e-05,Let it Ride,0
0.002,0.0008213147135639345,PutinCoin,0
4.4333333e-05,4.572054144447702e-06,iBankCoin,0
9.999999999999999e-05,0.00010101121017516,Frankywillcoin,0
0.00019999999999999998,5.0505202053125176e-06,MudraCoin,0
2.4999999999999998e-05,1.3918087968066747e-06,PizzaCoin,1
0.000657,0.0006636438871562658,Lutetium Coin,0
0.00019999999999999998,0.00011707011143822338,Komodo,1
4.9999999999999996e-05,1.5721220645668756e-05,GoldBlocks,0
8.999999999999999e-05,4.360196981630424e-05,CarterCoin,0
9.999999999999999e-06,7.901494854014166e-06,Karbo,1
2.1e-05,6.014078665632431e-07,BitTokens,0
9.736e-06,6.306938569650361e-06,ZayedCoin,1
3e-06,6.642442854597716e-07,MustangCoin,0
2.1e-05,2.60803781407262e-06,ZoneCoin,0
0.0012,0.001010112483573715,Circuits of Value,1
0.0,1.9594637532670447e-06,RootCoin,0
0.00019999999999999998,0.00011802678598125889,DopeCoin,1
0.0,0.00017131364398891228,BitCurrency,0
1.0638297999999999e-05,9.198763457405489e-06,DollarCoin,1
0.0031,0.0006719268674458666,Swiscoin,0
3e-05,1.1231600774401894e-05,Shilling,1
0.02,0.019775768099222997,BuzzCoin,0
7.4e-05,7.478243316626309e-05,Opair,0
0.0,3.3861916349526105e-05,PesoBit,0
0.0015,0.00026735498365459823,Halloween Coin,0
2.14e-05,7.64477326578056e-06,ZCoin,1
3.9999898e-05,0.00015022067624351898,CoffeeCoin,0
2.500124e-06,2.5253641442697554e-06,RoyalCoin,0
9.999999999999999e-05,0.00010101121017516,GanjaCoin V2,0
0.000301,1.799883162737528e-05,TeamUP,0
0.007506,0.0010931059908985078,LanaCoin,0
2.6205539e-05,2.6470500769759988e-05,Elementrem,1
2.1e-05,5.670274745638833e-06,ZClassic,1
0.000125,0.00010929623796285102,ARK,0
3e-05,1.8528262748666736e-05,InsaneCoin,0
0.01,0.00019828299691049012,KiloCoin,1
0.0005,0.0008323326789979977,ArtexCoin,1
0.00085,0.09312512499722704,EmberCoin,0
3.85332677707314e-06,3.892251219607147e-06,XenixCoin,0
4.9999999999999996e-05,5.050558387524027e-05,FreeCoin,0
3.854e-05,1.7262376599622708e-05,PLNCoin,0
4.2e-05,2.4743064059498467e-06,AquariusCoin,0
0.00022799999999999999,6.198532384216967e-05,Kurrent,1
1.9999999999999998e-05,2.0202208095288435e-05,Creatio,0
6e-05,6.130817447836677e-06,Eternity,0
1.9999999999999998e-05,1.2542074300456016e-05,Eurocoin,0
3.3e-05,2.044869943142752e-05,BitcoinFast,0
7.65e-05,7.635473614706129e-05,Stakenet,0
2.8e-05,1.1192734045396626e-05,BitConnect Coin,0
0.000650659833,1.102474791110289e-05,MoneyCoin,0
4.9999999999999996e-06,8.22866956988183e-07,Enigma,0
2.1e-05,9.879940920632446e-07,Cannabis Industry Coin,1
0.000144,8.462552033844294e-06,Russiacoin,0
0.032514916898,0.034155080075394764,PandaCoin,0
1.3e-05,3.5080612062000273e-06,GameUnits,0
3.315789e-06,3.349277577788236e-06,GAKHcoin,0
1.5e-05,1.0624091564757174e-05,Allsafe,0
7.88352e-05,3.053338648306851e-05,LiteCreed,0
2.714286e-06,9.030244364887856e-07,OsmiumCoin,1
2.4999999999999998e-05,9.45166937098981e-06,Bikercoins,1
9.999999e-06,1.895076598604205e-06,HexxCoin,1
0.0005,2.4207680022731743e-05,Klingon Empire Darsek,0
2.1e-05,2.5515810848300206e-06,Internet of People,0
9.354e-06,5.716282297716262e-06,KushCoin,0
1.9999999999999998e-05,1.1941233107066495e-05,Printerium,0
0.09999999999999999,0.0005424122767593174,PacCoin,1
2.1933333e-05,3.112530434702042e-07,Impeach,0
0.000185,1.1080203617022588e-05,Citadel,1
5.5e-05,2.952126549266365e-06,Zilbercoin,0
0.00011,0.00011111233543514395,FirstCoin,0
3.36e-06,3.1467187028372516e-06,BeaverCoin,1
1.4524851482699999e-05,1.4671691996262168e-05,FindCoin,0
0.001,3.06927721385458e-05,VaultCoin,1
1.7e-05,6.991606880143162e-06,Zero,1
0.001,0.001010112483573715,OpenChat,0
9.999999999999999e-05,0.00010085303495353078,Canada eCoin,1
2.1e-05,1.8733259530199216e-05,Zoin,1
3.4426423e-05,3.641488282863465e-05,RenosCoin,0
2.232901e-06,2.2554388447348865e-06,DubaiCoin,1
9.999999999999999e-05,1.329581530346377e-05,VirtacoinPlus,0
3.69e-05,1.230736649923973e-05,TajCoin,0
0.00011,0.00011174909809914192,Impact,0
0.004,6.4744182567565e-05,EB3coin,1
0.00011029002999999999,0.0001122596585042139,Atmos,0
9.999999999999999e-05,2.1738914513579824e-05,HappyCoin,0
4.8252e-05,1.0225528698507492e-05,Coinonat,1
0.00039999999999999996,0.00040548074292924503,MacronCoin,0
0.0005,0.00012289575426205164,Condensate,0
2.1212121e-05,5.423185059979209e-06,Independent Money System,0
2.86e-05,1.1598940316251253e-06,ArgusCoin,0
0.001,5.050138383197423e-07,LomoCoin,0
0.075,0.000101562474035661,ProCurrency,0
3.9999999999999996e-05,1.7344985622223908e-05,GoldReserve,0
3.55204e-05,2.0481099301609794e-05,BenjiRolls,1
0.002,0.00029811998901383135,GrowthCoin,0
0.0025,0.00133107321342839,ILCoin,1
3e-05,1.1505367505890212e-05,Phreak,0
0.000105,2.1574712631564118e-05,Degas Coin,0
0.09,0.041070185354394564,HTML5 Coin,0
0.0002000842,1.0447665574437378e-05,Ultimate Secure Cash,0
7.2e-05,1.3811636685882888e-05,EquiTrader,1
9.999999999999999e-05,0.00010101121017516,QTUM,0
0.000105,6.973410292439654e-05,Quantum Resistant Ledger,1
0.049999999999999996,0.023032467461920655,Espers,0
0.0,1.9984250712738026e-05,Dynamic,1
0.000340282367,0.00013459573144297484,Nano,1
3e-05,1.859336055000138e-05,ChanCoin,1
0.002,0.0018277653841021488,Dinastycoin,1
9.999999999999999e-06,4.21352278424478e-06,Denarius,0
9.999999999999999e-05,3.549427637356498e-05,DigitalPrice,1
0.00012,6.357853594515095e-05,Virta Unique Coin,0
9.999999999999999e-05,6.873128862948033e-06,Bitcoin Planet,0
1.9276799999999998e-05,1.8316524981192004e-05,Unify,1
3e-05,2.1483123708606792e-05,BritCoin,0
7.5e-05,5.219991834361899e-06,SocialCoin,1
6e-05,2.6305676035663084e-05,ArcticCoin,1
1.89e-05,2.6493675781863705e-06,DAS,1
0.049999999999999996,0.009136398000134972,Linda,0
5.4e-05,1.4304972176342188e-05,LeviarCoin,1
1.88981876216583e-05,2.213861203943481e-05,DeepOnion,0
2.1e-05,1.79818445601243e-05,Bitcore,1
0.19999999999999998,0.16470399637021482,gCn Coin,1
0.005,0.0022636713700820437,SmartCash,1
0.0001375,0.00010906460097861412,Signatum,0
0.0011,0.00012371413404244978,Onix,1
9.999999999999999e-05,4.781040413584817e-05,Cream,0
2.1e-05,1.8177528090389545e-05,Bitcoin Cash,1
9.507271e-06,1.2696327105426492e-05,Monoeci,0
1.740589119707116e-05,1.8851988003957774e-05,Draftcoin,0
0.086712634466,0.05601552220497439,Vechain,3
0.0105,4.900783145103299e-07,Sojourn Coin,1
6.1599965e-05,4.040407679314124e-06,Stakecoin,0
0.0,0.14445282836496898,NewYorkCoin,1
1.9999999999999998e-05,9.802131952335057e-06,FrazCoin,1
8.4e-05,1.7630208474200687e-05,Kronecoin,1
9.999999999999999e-05,3.2976829554994085e-05,AdCoin,1
9.999999999999999e-05,3.405744282107109e-05,Linx,1
4.8252e-05,1.9737140166968463e-05,CoinonatX,0
4.2e-06,4.242430184513802e-06,Ethereum Dark,0
8.8888888e-05,9.037083836381659e-06,Sumokoin,1
9.1388946e-05,2.525277072528041e-05,Obsidian,0
0.045,0.026189258670453058,Cardano,0
2.7e-05,7.335800847435647e-06,Regalcoin,0
0.021,0.005264255183404156,BitcoinZ,1
0.00039999999999999996,0.0001844852931436257,TrezarCoin,0
0.0018,0.002730188324649383,Elements,1
1.5733333e-05,1.1522282036277493e-06,TerraNovaCoin,0
2.7e-05,4.2080536057275544e-06,VIVO Coin,1
2.4e-05,2.4242658199282013e-05,Rupee,0
2.1e-05,1.7376277988060767e-05,Bitcoin Gold,1
0.024999999999999998,0.048949520086634876,WomenCoin,0
9.999999999999999e-05,9.298162368349356e-05,Theresa May Coin,0
0.0012,0.0005662318877113143,NamoCoin,0
6e-05,8.389725261934065e-06,LUXCoin,0
0.00015630673271,3.433063179417746e-05,Pirl,1
2.1e-05,2.171384351108982e-06,Xios,0
0.00019999999999999998,3.102207945790435e-05,Bitcloud 2.0,0
9.999999999999999e-05,0.00010100111055846874,eBoost,1
2.1e-05,1.2455459479832744e-05,KekCoin,0
1.4788275991e-05,1.6527969228952047e-05,BlackholeCoin,0
0.009,0.009091012681459745,Infinity Economics,0
0.00035,0.00017698769150478906,Pura,1
4.4999999999999996e-05,6.439686588109045e-06,Innova,1
0.00028,1.2885323668253108e-05,Ellaism,1
3.18e-05,5.8912438052245976e-06,GoByte,1
0.000144,3.8584836692894136e-05,Magnet,0
0.0005,0.0002910038484228817,Lamden Tau,0
0.03,0.028686337310386032,Electra,0
0.00021,0.0001853899750634157,Bitcoin Diamond,0
0.00066,0.00048660203702011835,SHIELD,1
0.00021,0.0001120991924368031,Cash & Back Coin,0
0.08499999999999999,0.019476809291408066,UltraNote,1
1.2499999999999999e-05,4.545463942313321e-06,BitCoal,1
0.01,0.0005261592692429206,DaxxCoin,1
2.7716120999999998e-05,1.3381098896885897e-05,Bulwark,0
1.9999999999999998e-05,1.712718809077933e-05,Kalkulus,0
0.00055,8.112836430670049e-05,AC3,1
0.000999481516,0.0004457123454091431,Lethean,1
0.049999999999999996,0.004961167901150851,GermanCoin,0
0.00015,8.504501321182602e-06,LiteCoin Ultra,0
0.004999999999,0.00400428929463865,PopularCoin,1
4.9999999999999996e-05,4.5630997097805847e-05,PhantomX,0
0.09,0.030393954073733687,Photon,1
1.98e-05,4.271764361299468e-06,Sucre,1
2.1e-05,7.926732120684645e-06,SparksPay,1
0.00012,2.7575706299068398e-05,Digiwage,0
0.0005,0.00030282962516929856,GunCoin,1
6.4e-05,4.594295543407392e-05,IrishCoin,1
0.0009,0.0005969994384801132,Trollcoin,0
4e-06,2.5297704851289645e-06,Litecoin Plus,0
2.1e-05,4.451778025752022e-06,Monkey Project,0
2.3e-05,8.563796965572327e-06,Pioneer Coin,1
2.0166e-05,2.036988677460417e-05,UnitedBitcoin,1
2.3e-05,1.2037052476950459e-05,Interzone,1
2.4999999999999998e-05,2.0652578416072093e-05,TokenPay,0
1.618033e-06,1.6343529760993054e-06,1717 Masonic Commemorative Token,0
3e-05,9.494351199405258e-06,My Big Coin,0
1.0,0.05367721313649496,TurtleCoin,1
1.66e-05,4.867022143120781e-06,MUNcoin,1
0.000232,0.00023722111232582548,Unified Society USDEX,0
0.000336,0.00013528682091182333,Niobio Cash,1
0.01,0.010101125217559265,ShareChain,1
9.999999999999999e-05,0.00010841055314609413,Travelflex,1
0.0011,0.0006503062720085249,KREDS,1
0.0007999999999999999,0.00023262778644178535,Tokyo Coin,0
0.0052,0.00179001182933328,BiblePay,3
0.00084,0.0006448379477152089,LitecoinCash,3
3.9999999999999996e-05,1.2571919087957276e-05,BitFlip,1
0.01840697984,0.014637555138650792,LottoCoin,1
0.0005,0.00021343434893853904,Crypto Improvement Fund,1
1.9340594e-05,1.1365079253614639e-05,Stipend,0
0.0002524608,0.00020654679617333478,Poa Network,3
2.4999999999999998e-05,2.1897068832293194e-06,Pushi,0
6e-05,4.2347288850128173e-07,Ellerium,0
0.000124,2.582854813272772e-05,Velox,0
0.001,0.0006574303062166524,Ontology,0
0.0065,0.0002501163979438093,Callisto Network,1
0.001,8.08585389130738e-05,BitTube,1
2.1e-05,4.1113298508009395e-06,Poseidon,1
2.4999999999999998e-05,2.525277072528041e-05,Aidos Kuneen,1
4.9999999999999996e-05,1.3927242241484136e-05,Bitspace,0
3e-06,8.5414692316889e-07,Briacoin,0
4.9999999999999996e-06,1.1940656333233882e-06,Ignition,0
7e-05,7.207701869161089e-05,Bitrolium,1
0.0005,0.00027000068858884117,MedicCoin,0
0.0003,2.761694076055857e-05,Alpenschillling,1
2.1e-05,9.902789020916682e-06,Bitcoin Green,0
8.8e-05,2.2097771981660372e-05,Deviant Coin,0
3e-05,9.9803767842214e-06,Abjcoin,0
9.999999999999999e-05,1.2435545813658904e-06,Semux,0
9.999999999999999e-05,3.2123011865143136e-05,FuturoCoin,1
0.00019999999999999998,0.00014115267438470172,Carebit,0
7.999999999999999e-05,1.1187210463274429e-05,Zealium,0
1.84e-05,1.6178792528933295e-05,Monero Classic,1
4.4999999999999996e-05,4.448291117312275e-06,Proton,0
0.00512195122,0.0014183570665580888,iDealCash,0
2.1e-05,2.12823681393255e-05,Jumpcoin,1
2.628e-05,5.149197805826263e-06,Infinex,1
2.1e-05,1.1015197390448922e-05,Bitcoin Incognito,0
1.8e-05,8.0344855378839e-07,KEYCO,1
2.6e-05,3.909819065890078e-05,HollyWoodCoin,0
1.05e-05,7.05700742826996e-06,GINcoin,1
0.0006000005179999999,8.511006126220963e-08,PlatinCoin,1
0.00015,1.934728117688423e-05,Loki,1
0.184,0.04171211188183845,Newton Coin,1
0.010199999999999999,0.010303147722758945,Swisscoin,0
4.4e-05,7.707116164244029e-06,Xt3ch,0
0.000168,0.0001372362858296267,MassGrid,1
9.999999999999999e-05,3.357426329493798e-05,TheVig,0
0.001,0.000565749793734985,PluraCoin,1
8.4e-05,2.181772113210989e-05,EmaratCoin,0
8.999999999999999e-05,3.059040366757284e-05,Dekado,0
0.092,0.0786595429746288,Lynx,0
0.00065,2.743690828304882e-06,Poseidon Quark,0
0.000100262205,5.8395573826824245e-05,BitcoinWSpectrum,0
1.8081806e-05,1.837889033865967e-05,Muse,0
2.20757e-05,8.207995617581074e-06,Motion,1
2.1e-05,8.732790637721589e-06,PlusOneCoin,1
2.1e-05,5.043480425424593e-06,Axe,1
8.2546564e-05,3.729646421313155e-05,Trivechain,0
2.1e-05,7.1539706984986e-06,Dystem,0
5.151e-06,5.979308337633273e-06,Giant,0
0.01688,1.0525074056122004e-06,Peony Coin,0
5.25e-05,1.346740196225012e-05,Absolute Coin,0
9.999999999999999e-05,6.67218067557149e-05,Vitae,0
2.2105263e-05,1.4309466834066776e-06,HexCoin,1
0.001,5.458406164457927e-06,TPCash,0
0.00175,1.5737712054640045e-05,Webchain,1
8.818888799999999e-05,4.940313898388515e-06,Ryo,1
0.00021,1.4895231528171468e-05,Urals Coin,1
0.18447,0.10055984390482109,Qwertycoin,1
5.5e-05,1.946433093556512e-05,ARENON,0
4.9999999999999996e-05,3.108225736284029e-05,EUNO,0
